athlete_full_name,country,gender,medals,golds,silvers,bronzes,top6,top10,starts,last_medal_date
Beth Potter,Great Britain,female,16,6,5,5,18,20,22,2026-05-16
Matthew Hauser,Australia,male,12,7,5,0,13,16,19,2026-05-16
Cassandre Beaugrand,France,female,9,7,1,1,11,13,13,2025-08-31
Lisa Tertsch,Germany,female,9,3,3,3,12,17,23,2025-10-15
Hayden Wilde,New Zealand,male,8,4,3,1,9,11,14,2025-02-15
Vasco Vilaca,Portugal,male,8,1,5,2,11,13,20,2026-04-25
Alex Yee,Great Britain,male,7,6,0,1,10,11,12,2024-10-17
Léo Bergere,France,male,7,1,3,3,14,14,15,2025-05-31
Miguel Hidalgo,Brazil,male,6,1,2,3,9,12,19,2026-05-16
Emma Lombardi,France,female,6,0,3,3,12,16,17,2025-10-15
Leonie Periault,France,female,5,2,2,1,11,12,18,2026-04-25
Georgia Taylor-Brown,Great Britain,female,4,2,1,1,7,9,12,2024-09-27
Jeanne Lehair,Luxembourg,female,4,1,1,2,10,14,22,2026-05-16
Taylor Knibb,United States,female,4,0,2,2,6,6,8,2024-05-11
Flora Duffy,Bermuda,female,3,3,0,0,4,6,6,2022-11-24
Pierre Le Corre,France,male,3,1,0,2,7,8,10,2024-07-13
Henry Graf,Germany,male,3,1,2,0,5,7,8,2026-04-25
Manoel Messias,Brazil,male,3,0,1,2,3,3,11,2023-06-24
Taylor Spivey,United States,female,3,0,1,2,10,18,21,2025-09-14
Sophie Evans,Great Britain,female,2,1,1,0,2,5,8,2023-05-13
Morgan Pearson,United States,male,2,1,1,0,3,3,13,2024-05-11
Jelle Geens,Belgium,male,2,0,0,2,5,6,11,2023-06-24
Luke Willian,Australia,male,2,0,0,2,5,6,19,2026-05-16
Csongor Lehmann,Hungary,male,2,0,0,2,5,12,16,2025-09-14
Bianca Seregni,Italy,female,2,0,2,0,3,7,16,2025-10-15
Alessio Crociani,Italy,male,2,0,0,2,3,4,8,2025-10-15
Vincent Luis,France,male,1,1,0,0,4,8,9,2022-11-05
Dorian Coninx,France,male,1,1,0,0,7,7,12,2023-09-22
Max Studer,Switzerland,male,1,1,0,0,2,3,7,2025-09-26
Tilda Månsson,Sweden,female,1,1,0,0,2,4,12,2026-05-16
Jonathan Brownlee,Great Britain,male,1,0,1,0,1,1,6,2022-10-08
Antonio Serrat Seoane,Spain,male,1,0,1,0,1,2,16,2022-11-05
Roberto Sanchez Mantecon,Spain,male,1,0,0,1,1,6,19,2022-11-05
Laura Lindemann,Germany,female,1,0,0,1,3,6,15,2025-02-15
Lena Meißner,Germany,female,1,0,0,1,2,2,11,2022-11-24
Nina Eim,Germany,female,1,0,1,0,2,6,11,2025-02-15
Charles Paquet,Canada,male,1,0,0,1,3,7,16,2026-04-25
Rosa Maria Tapia Vidal,Mexico,female,1,0,1,0,2,5,18,2023-05-13
Summer Rappaport,United States,female,1,0,0,1,2,4,13,2023-06-24
Olivia Mathias,Great Britain,female,1,0,0,1,1,2,11,2025-05-31
Julie Derron,Switzerland,female,1,0,1,0,1,3,7,2024-07-30
Kate Waugh,Great Britain,female,1,0,1,0,4,8,15,2023-09-22
Annika Koch,Germany,female,1,0,0,1,3,3,18,2023-07-29
Tim Hellwig,Germany,male,1,0,1,0,2,3,9,2023-09-22
Tanja Neubert,Germany,female,1,0,0,1,3,6,11,2025-09-26
David Cantero Del Campo,Spain,male,1,0,1,0,3,7,7,2025-10-15
Jawad Abdelmoula,Morocco,male,1,0,0,1,1,1,8,2022-07-09
John Reed,United States,male,1,0,0,1,1,1,12,2025-09-26
